Designator,Mid X,Mid Y,Rotation,Layer
R76,109.982,-81.788,0.0,top
R77,125.984,-84.709,270.0,top
R78,125.984,-87.757,270.0,top
R79,113.03,-84.582,180.0,top
R8,135.3409,-67.3862,270.0,top
R80,113.03,-86.741,180.0,top
R81,109.982,-84.582,0.0,top
R82,109.982,-86.233,0.0,top
R83,126.746,-90.424,180.0,top
R84,126.746,-92.075,180.0,top
R85,113.03,-89.408,180.0,top
R86,113.03,-91.567,180.0,top
R87,109.982,-89.408,0.0,top
R88,109.982,-91.186,0.0,top
R89,126.746,-96.52,180.0,top
R9,135.3409,-70.5866,270.0,top
R90,126.746,-94.615,180.0,top
R91,113.03,-93.98,180.0,top
R92,113.03,-96.266,180.0,top
R93,109.982,-93.98,0.0,top
R94,109.982,-96.012,0.0,top
SW1,158.4609,-89.4222,270.0,top
SW2,158.5889,-75.1022,270.0,top
SW3,174.752,-90.805,180.0,top
TP4,155.0319,-83.5802,0.0,top
TP5,142.5,-46.674,0.0,top
U1,140.9289,-68.961,270.0,top
U14,165.862,-95.631,0.0,top
U2,137.8629,-77.8342,270.0,top
U3,145.5069,-88.1522,0.0,top
U4,165.5614,-65.151,180.0,top
U5,158.6073,-64.4906,180.0,top
U6,120.269,-63.754,180.0,top
U7,120.269,-73.66,180.0,top
U8,120.269,-83.82,180.0,top
U9,120.269,-93.853,180.0,top
Y1,143.0069,-96.1532,90.0,top
